Muter's report



Here's your test report:

--------------------------
Applied Mutation Operators
--------------------------

These are all of the ways that Muter introduced changes into your code.

In total, Muter introduced 159 mutants in 44 files.

File                                 Applied Mutation Operator       Mutation Test Result
MutationTestingAbortReason.swift:0   RemoveSideEffects               skipped (no coverage)
Muter.swift:0                        RemoveSideEffects               skipped (no coverage)
ApplySchemata.swift:0                RemoveSideEffects               skipped (no coverage)
SourceInfo.swift:0                   RemoveSideEffects               skipped (no coverage)


--------------------
Mutation Test Scores
--------------------

These are the mutation scores for your test suite, as well as the files that had mutants introduced into them.

Mutation scores ignore build errors.

Of the 159 mutants introduced into your code, your test suite killed 90.
Mutation Score of Test Suite: 56%
Code Coverage of your project: 74%

File                               # of Introduced Mutants   Mutation Score
----                               -----------------------   --------------
ProcessFactory.swift               1                         100
SwiftCoverage.swift                2                         100
XcodeCoverage.swift                1                         100
Init.swift                         3                         33
Run.swift                          6                         0
RunCommandHandler.swift            3                         100
RunOptions.swift                   13                        0
configurationGeneration.swift      6                         83
ArrayExtensions.swift              1                         100
FileManagerExtensions.swift        1                         0
Nullable.swift                     1                         0
StringExtensions.swift             2                         50
SwiftSyntaxExtensions.swift        8                         87
TokenAwareVisitor.swift            5                         100
MutationPosition.swift             7                         0
MutationSchema.swift               12                        66
SchemataMutationMapping.swift      6                         83
MutationTestingIODelegate.swift    3                         100
BuildForTesting.swift              2                         100
DiscoverMutationPoints.swift       3                         33
DiscoverProjectCoverage.swift      2                         100
DiscoverSourceFiles.swift          6                         50
LoadConfiguration.swift            4                         75
PerformMutationTesting.swift       12                        8
UpdateCheck.swift                  3                         33
AddImportRewriter.swift            1                         100
HTMLReporter.swift                 2                         100
Logger.swift                       3                         0
MuterTestReport.swift              8                         62
CLITable.swift                     3                         100
testReportTableGeneration.swift    7                         85
TestSuiteOutcome.swift             8                         100
XcodeReporter.swift                2                         100
mutationScoring.swift              6                         33
MuterVisitor.swift                 6                         83
Operator.swift                     1                         0
Run.swift                          1                         0
FileManagerExtensions.swift        1                         0
Nullable.swift                     1                         0
ProgressExtensions.swift           1                         0
MutationTestingAbortReason.swift   1                         0
Muter.swift                        1                         0
ApplySchemata.swift                1                         0
SourceInfo.swift                   1                         0

